Trial,Bird,Brain Region,Stimuli,Count
Spike 1,obla1305_7,OV,conspecific,1211
Spike 2,obla1305_7,OV,conspecific,1368
Spike 3,obla1305_7,OV,conspecific,1465
Spike 4,obla1305_7,OV,conspecific,1590
Spike 5,obla1305_7,OV,conspecific,1257
Spike 6,obla1305_7,OV,conspecific,2064
Spike 7,obla1305_7,OV,conspecific,2106
Spike 8,obla1305_7,OV,conspecific,1823
Spike 9,obla1305_7,OV,conspecific,1622
Spike 10,obla1305_7,OV,conspecific,1558
Spike 11,obla1305_7,OV,conspecific,1983
Spike 12,obla1305_7,OV,conspecific,1204
Spike 13,obla1305_7,OV,conspecific,1749
Spike 14,obla1305_7,OV,conspecific,1477
Spike 15,obla1305_7,OV,conspecific,1799
Spike 16,obla1305_7,OV,conspecific,1397
Spike 17,obla1305_7,OV,conspecific,1388
Spike 18,obla1305_7,OV,conspecific,1965
Spike 19,obla1305_7,OV,conspecific,1715
Spike 20,obla1305_7,OV,conspecific,1603
Spike 1,obla1305_7,OV,flatrip,1872
Spike 2,obla1305_7,OV,flatrip,1844
Spike 3,obla1305_7,OV,flatrip,1563
Spike 4,obla1305_7,OV,flatrip,1652
Spike 5,obla1305_7,OV,flatrip,1839
Spike 6,obla1305_7,OV,flatrip,1438
Spike 7,obla1305_7,OV,flatrip,1444
Spike 8,obla1305_7,OV,flatrip,1778
Spike 9,obla1305_7,OV,flatrip,1743
Spike 10,obla1305_7,OV,flatrip,1451
Spike 1,obla1305_8,OV,conspecific,347
Spike 2,obla1305_8,OV,conspecific,304
Spike 3,obla1305_8,OV,conspecific,361
Spike 4,obla1305_8,OV,conspecific,285
Spike 5,obla1305_8,OV,conspecific,318
Spike 6,obla1305_8,OV,conspecific,461
Spike 7,obla1305_8,OV,conspecific,435
Spike 8,obla1305_8,OV,conspecific,492
Spike 9,obla1305_8,OV,conspecific,420
Spike 10,obla1305_8,OV,conspecific,246
Spike 11,obla1305_8,OV,conspecific,485
Spike 12,obla1305_8,OV,conspecific,390
Spike 13,obla1305_8,OV,conspecific,406
Spike 14,obla1305_8,OV,conspecific,357
Spike 15,obla1305_8,OV,conspecific,311
Spike 16,obla1305_8,OV,conspecific,367
Spike 17,obla1305_8,OV,conspecific,316
Spike 18,obla1305_8,OV,conspecific,416
Spike 19,obla1305_8,OV,conspecific,445
Spike 20,obla1305_8,OV,conspecific,466
Spike 1,obla1305_8,OV,flatrip,692
Spike 2,obla1305_8,OV,flatrip,642
Spike 3,obla1305_8,OV,flatrip,477
Spike 4,obla1305_8,OV,flatrip,540
Spike 5,obla1305_8,OV,flatrip,551
Spike 6,obla1305_8,OV,flatrip,390
Spike 7,obla1305_8,OV,flatrip,398
Spike 8,obla1305_8,OV,flatrip,549
Spike 9,obla1305_8,OV,flatrip,511
Spike 10,obla1305_8,OV,flatrip,357
Spike 1,obla1305_5,OV,conspecific,515
Spike 2,obla1305_5,OV,conspecific,452
Spike 3,obla1305_5,OV,conspecific,582
Spike 4,obla1305_5,OV,conspecific,651
Spike 5,obla1305_5,OV,conspecific,456
Spike 6,obla1305_5,OV,conspecific,919
Spike 7,obla1305_5,OV,conspecific,741
Spike 8,obla1305_5,OV,conspecific,692
Spike 9,obla1305_5,OV,conspecific,609
Spike 10,obla1305_5,OV,conspecific,463
Spike 11,obla1305_5,OV,conspecific,743
Spike 12,obla1305_5,OV,conspecific,452
Spike 13,obla1305_5,OV,conspecific,568
Spike 14,obla1305_5,OV,conspecific,682
Spike 15,obla1305_5,OV,conspecific,677
Spike 16,obla1305_5,OV,conspecific,646
Spike 17,obla1305_5,OV,conspecific,499
Spike 18,obla1305_5,OV,conspecific,650
Spike 19,obla1305_5,OV,conspecific,689
Spike 20,obla1305_5,OV,conspecific,679
Spike 1,obla1305_5,OV,flatrip,788
Spike 2,obla1305_5,OV,flatrip,693
Spike 3,obla1305_5,OV,flatrip,531
Spike 4,obla1305_5,OV,flatrip,600
Spike 5,obla1305_5,OV,flatrip,653
Spike 6,obla1305_5,OV,flatrip,507
Spike 7,obla1305_5,OV,flatrip,431
Spike 8,obla1305_5,OV,flatrip,640
Spike 9,obla1305_5,OV,flatrip,641
Spike 10,obla1305_5,OV,flatrip,457
Spike 1,obla1305_6,OV,conspecific,227
Spike 2,obla1305_6,OV,conspecific,201
Spike 3,obla1305_6,OV,conspecific,268
Spike 4,obla1305_6,OV,conspecific,295
Spike 5,obla1305_6,OV,conspecific,236
Spike 6,obla1305_6,OV,conspecific,369
Spike 7,obla1305_6,OV,conspecific,433
Spike 8,obla1305_6,OV,conspecific,381
Spike 9,obla1305_6,OV,conspecific,309
Spike 10,obla1305_6,OV,conspecific,257
Spike 11,obla1305_6,OV,conspecific,371
Spike 12,obla1305_6,OV,conspecific,199
Spike 13,obla1305_6,OV,conspecific,281
Spike 14,obla1305_6,OV,conspecific,290
Spike 15,obla1305_6,OV,conspecific,318
Spike 16,obla1305_6,OV,conspecific,282
Spike 17,obla1305_6,OV,conspecific,224
Spike 18,obla1305_6,OV,conspecific,326
Spike 19,obla1305_6,OV,conspecific,312
Spike 20,obla1305_6,OV,conspecific,326
Spike 1,obla1305_6,OV,flatrip,333
Spike 2,obla1305_6,OV,flatrip,368
Spike 3,obla1305_6,OV,flatrip,262
Spike 4,obla1305_6,OV,flatrip,294
Spike 5,obla1305_6,OV,flatrip,305
Spike 6,obla1305_6,OV,flatrip,253
Spike 7,obla1305_6,OV,flatrip,236
Spike 8,obla1305_6,OV,flatrip,359
Spike 9,obla1305_6,OV,flatrip,325
Spike 10,obla1305_6,OV,flatrip,212
Spike 1,obla1305_4,OV,conspecific,491
Spike 2,obla1305_4,OV,conspecific,404
Spike 3,obla1305_4,OV,conspecific,494
Spike 4,obla1305_4,OV,conspecific,547
Spike 5,obla1305_4,OV,conspecific,402
Spike 6,obla1305_4,OV,conspecific,760
Spike 7,obla1305_4,OV,conspecific,700
Spike 8,obla1305_4,OV,conspecific,621
Spike 9,obla1305_4,OV,conspecific,584
Spike 10,obla1305_4,OV,conspecific,478
Spike 11,obla1305_4,OV,conspecific,698
Spike 12,obla1305_4,OV,conspecific,484
Spike 13,obla1305_4,OV,conspecific,470
Spike 14,obla1305_4,OV,conspecific,593
Spike 15,obla1305_4,OV,conspecific,607
Spike 16,obla1305_4,OV,conspecific,531
Spike 17,obla1305_4,OV,conspecific,390
Spike 18,obla1305_4,OV,conspecific,573
Spike 19,obla1305_4,OV,conspecific,567
Spike 20,obla1305_4,OV,conspecific,602
Spike 1,obla1305_4,OV,flatrip,638
Spike 2,obla1305_4,OV,flatrip,645
Spike 3,obla1305_4,OV,flatrip,449
Spike 4,obla1305_4,OV,flatrip,516
